party,year,label,rile,vanilla,legacy,experts,experts_source,experts_n,experts_stand
NDP,1979,NDP 1979,-18.7,-5.815016,-4.408342,NA,,NA,NA
NDP,1980,NDP 1980,-16,-5.352104,-4.132757,3.2,CM84,3,-1.09537931466131
NDP,1984,NDP 1984,-31.9,-7.984617,-5.905693,NA,,NA,NA
NDP,1988,NDP 1988,-40.8,-7.834025,-5.543127,NA,,NA,NA
NDP,1993,NDP 1993,-23.048,-7.304724,-7.668514,2.9,HI95,10,-1.37036037752427
NDP,1997,NDP 1997,-31.765,-7.771617,-8.253752,NA,,NA,NA
NDP,2000,NDP 2000,-35.016,-6.995487,-7.081307,4.9,BL06,101,-1.41603867076159
NDP,2004,NDP 2004,-17.56,-6.653864,-5.090106,NA,,NA,NA
NDP,2006,NDP 2006,-21.695,-6.592603,-4.464329,NA,,NA,NA
NDP,2008,NDP 2008,-20.659,-6.587283,-3.304068,NA,,NA,NA
NDP,2011,NDP 2011,-27.907,-7.639673,-4.323286,NA,,NA,NA
NDP,2015,NDP 2015,-9.674,-6.993439,-3.796075,NA,,NA,NA
Ref-All,1993,RefAll 1993,40.449,-2.736016,5.34224,NA,,NA,NA
Ref-All,1997,RefAll 1997,40.449,-2.736016,6.729686,NA,,NA,NA
Ref-All,2000,RefAll 2000,10.787,-4.216749,4.96,17.5,BL06,101,1.36310264568639
